Brand,Capacity,Car_Wash,City,Country,Email,Fuel_Diesel,Fuel_Octane_91,Fuel_Octane_95,Fuel_Octane_98,Full_Service,Hours,House_Number,ID,Latitude,Longitude,Name,Operator,Payment_Cash,Phone Number,Postal_Code,Province,Self_Service,Street,Website,geometry
Petro-Canada,,,Toronto,,,no,,,,,,55,59566141,43.6447004,-79.3943053,Petro-Canada,,,+1-416-977-3653,M5V 2J2,,,Spadina Avenue,,POINT (-79.3943053 43.6447004)
Shell,,,Toronto,,,no,,,,,,38,59566148,43.6442632,-79.3949107,Shell,,,,,,,Spadina Avenue,,POINT (-79.3949107 43.6442632)
Petro-Canada,,,,,,no,,,,,"Mo-Su,PH 00:00-18:00+",,60360215,43.7608533,-79.4992745,Petro-Canada,,,,,,,,,POINT (-79.4992745 43.7608533)
Esso,,,Toronto,,,no,,,,,,150,60930901,43.6759496,-79.4032127,Esso,,,,M5R 2E6,,,Dupont Street,https://www.esso.ca/,POINT (-79.4032127 43.6759496)
Canadian Tire,,,,,,yes,,,,,24/7,,60930943,43.6730828,-79.3875424,Canadian Tire,,,,,,,,,POINT (-79.3875424 43.6730828)
Petro-Canada,,,,,,,,,,yes,,,68531838,43.6957852,-79.5208324,Petro-Canada,,,,,,,,,POINT (-79.5208324 43.6957852)
,,,,,,,,,,,,,158707499,43.6686550,-79.4393676,OLCO,,,,,,,,,POINT (-79.4393676 43.668655)
Shell,,,,,,,,,,,,,158713940,43.6675387,-79.4440436,Shell,,,,,,,,,POINT (-79.4440436 43.6675387)
Shell,,,,,,yes,,,,,,1077,240433355,43.6793882,-79.3901991,Shell,,,,,,yes,Yonge Street,,POINT (-79.3901991 43.6793882)
Shell,,,Toronto,,,,,,,,,1586,243420883,43.6869409,-79.4200654,Shell,,,+1-416-656-9970,,,yes,Bathurst Street,,POINT (-79.4200654 43.6869409)
7-Eleven,,,,,,,,,,,,,244885892,43.6511228,-79.4112643,7-Eleven,,,,,,,,https://www.7-eleven.com/,POINT (-79.4112643 43.6511228)
Esso,,,Toronto,,,no,,,,,,381,251047415,43.6986546,-79.3861777,Esso,,,,M4S 2L5,,,Mount Pleasant Road,https://www.esso.ca/,POINT (-79.3861777 43.6986546)
Husky,,,Toronto,,,,,,,,,,253719789,43.6817280,-79.4672250,Husky,,,,,,,,,POINT (-79.467225 43.681728)
Esso,,,Toronto,,,no,,,,,,241,253937975,43.6567920,-79.3769278,Esso,,,,,,yes,Church Street,https://www.esso.ca/,POINT (-79.3769278 43.656792)
Petro-Canada,,,Scarborough,,,yes,,,,,24/7,1525,257892304,43.7900818,-79.2367453,Petro-Canada,,,,,,yes,Markham Road,,POINT (-79.2367453 43.7900818)
Esso,,,Scarborough,,,,,,,,,1641,257892308,43.7936463,-79.2379312,Esso,,,,,,yes,Markham Road,,POINT (-79.23793120000001 43.7936463)
Petro-Canada,,,,,,,,,,,,,257892320,43.7939789,-79.2396635,Petro-Canada,,,,,,,,,POINT (-79.23966350000001 43.7939789)
Petro-Canada,,,,,,yes,,,,,,,260338061,43.6549750,-79.4597195,Petro-Canada,,,,,,yes,,,POINT (-79.45971950000001 43.654975)
Esso,,,,,,no,,,,,,,260990913,43.6975851,-79.3291251,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.3291251 43.6975851)
Shell,,,,,,no,,,,,,,260990951,43.6974267,-79.3298547,Shell,,,,,,,,,POINT (-79.3298547 43.6974267)
Shell,,,,,,,,,,,,,260994698,43.7324115,-79.2687314,Shell,,,,,,,,,POINT (-79.26873139999999 43.7324115)
,,,,,,,,,,,,,260994725,43.7319401,-79.2709512,Geo Food & Gas Bar,,,,,,,,,POINT (-79.2709512 43.7319401)
Petro-Canada,,,,,,yes,,,,,24/7,,260994877,43.7263333,-79.2968893,Petro-Canada,,,,,,,,,POINT (-79.2968893 43.7263333)
Esso,,,North York,,,,,,,,,1725,260995055,43.7257254,-79.3141841,Esso,,,,,,,Eglinton Avenue East,https://www.esso.ca/,POINT (-79.31418410000001 43.7257254)
Shell,,,Toronto,,,no,,,,,,1800,260995132,43.7117461,-79.3776458,Shell,,,+1-416-489-8472,M4G 3C6,,,Bayview Avenue,,POINT (-79.3776458 43.7117461)
Canadian Tire,,,,,,,,,,,,,262253512,43.7196162,-79.3048256,Canadian Tire,,,,,,,,,POINT (-79.3048256 43.7196162)
Petro-Canada,,,,,,no,,,,,,,265014946,43.7497505,-79.2756348,Petro-Canada,,,,,,,,,POINT (-79.27563480000001 43.7497505)
Shell,,,,,,,,,,,,,265679164,43.7696842,-79.3762903,Shell,,,,,,,,,POINT (-79.37629029999999 43.7696842)
Esso,,,,,,,,,,,,,266579047,43.6910397,-79.2878587,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.2878587 43.6910397)
Mobil,,,,,,,,,,,,,266579078,43.6870538,-79.2871128,Mobil,,,,,,,,,POINT (-79.2871128 43.6870538)
Petro-Canada,,,,,,,,,,,,,269450988,43.6865034,-79.3081922,Petro-Canada,,,,,,,,,POINT (-79.30819219999999 43.6865034)
Petro-Canada,,,Toronto,,,no,,,,,,115,270858365,43.6529039,-79.3724356,Petro-Canada,,,,,,,Jarvis Street,,POINT (-79.3724356 43.6529039)
,,,,,,,,,,,,,271628208,43.6834224,-79.3011072,Everest Petro Pump,,,,,,,,,POINT (-79.3011072 43.6834224)
Petro-Canada,,,East York,,,yes,,,,,24/7,8,272322894,43.7050839,-79.3491731,Petro-Canada,,,,,,,Thorncliffe Park Drive,,POINT (-79.3491731 43.7050839)
Esso,,,Toronto,,,,,,,,,952,273325216,43.6422213,-79.4124566,Esso,,,,M6K 1E4,,,King Street West,,POINT (-79.4124566 43.6422213)
Esso,,,North York,,,no,,,,,,1840,276270556,43.7135510,-79.3781082,Esso,,,,,,,Bayview Avenue,https://www.esso.ca/,POINT (-79.3781082 43.713551)
Esso,,,East York,,,,,,,,,61,276834986,43.7071035,-79.3440463,Esso,,,,,,,Overlea Boulevard,https://www.esso.ca/,POINT (-79.3440463 43.7071035)
,,,,,,,,,,,,,276835361,43.6901149,-79.3492651,Eagle Gas,,,,,,,,,POINT (-79.3492651 43.6901149)
,,,,,,,,,,,,,279217379,43.6868074,-79.3343779,Global,,,,,,,,,POINT (-79.33437790000001 43.6868074)
,,,,,,,,,,,,,280367093,43.7071602,-79.3046014,Petro (St. Clair Petroleum Limited),,,,,,,,,POINT (-79.3046014 43.7071602)
Petro-Canada,,,,,,yes,,,,,,,280889577,43.6664991,-79.3779890,Petro-Canada,,,,,,,,,POINT (-79.377989 43.6664991)
Esso,,,,,,,,,,,,,281140834,43.7079788,-79.3003925,Esso,,,,,,,,,POINT (-79.3003925 43.7079788)
Petro-Canada,,,,,,,,,,,,,288058387,43.7044468,-79.4079557,Petro-Canada,,,,,,,,,POINT (-79.4079557 43.7044468)
,,,,,,,,,,,,,295299587,43.6922847,-79.2843382,Gas Fuel Avenue,,,,,,,,,POINT (-79.28433819999999 43.6922847)
Esso,,,,,,yes,,,,,,1500,296210172,43.7931988,-79.3541984,Esso,,,,,,yes,Finch Avenue East,https://www.esso.ca/,POINT (-79.3541984 43.7931988)
Petro-Canada,,,,,,no,,,,,,,296244858,43.7879247,-79.3528251,Petro-Canada,,,,,,,,,POINT (-79.3528251 43.7879247)
Esso,,,North York,,,yes,,,,,,2500,298532545,43.7754962,-79.3478679,Esso,,,,,,yes,Don Mills Road,https://www.esso.ca/,POINT (-79.3478679 43.7754962)
Esso,,,North York,,,no,,,,,,800,299281852,43.7349919,-79.3556312,Esso,,,,,,yes,Lawrence Avenue East,https://www.esso.ca/,POINT (-79.3556312 43.7349919)
Shell,,,,,,yes,,,,,24/7,,299299333,43.7438257,-79.4059626,Shell,,,,,,,,,POINT (-79.4059626 43.7438257)
Petro-Canada,,,North York,,,yes,,,,,,800,302171951,43.7535577,-79.3596622,Petro-Canada,,,,,,yes,York Mills Road,,POINT (-79.3596622 43.7535577)
Esso,,,,,,yes,,,,,,,302180552,43.7555842,-79.3600588,Esso,,,,,,yes,,https://www.esso.ca/,POINT (-79.3600588 43.7555842)
Esso,,,,,,no,,,,,,,302416642,43.8053933,-79.3851843,Esso,,,,,,,,,POINT (-79.38518430000001 43.8053933)
Petro-Canada,,,North York,,,no,,,,,,1571,307861051,43.7059249,-79.4880121,Petro-Canada,,,,,,,Lawrence Avenue West,,POINT (-79.48801210000001 43.7059249)
Husky,,,,,,yes,,,,yes,,,314146942,43.7035846,-79.3610537,Husky,,,,,,,,,POINT (-79.3610537 43.7035846)
Esso,,,,,,yes,,,,,,,314151061,43.7024383,-79.3580022,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.3580022 43.7024383)
Petro-Canada,,,,,,,,,,,24/7,,331342380,43.7152430,-79.4467578,Petro-Canada,,,,,,,,,POINT (-79.4467578 43.715243)
Husky,,,North York,,,no,,,,,,689,331342381,43.7153990,-79.4460346,Husky,,,,,,,Lawrence Avenue West,,POINT (-79.4460346 43.715399)
Shell,,,North York,,,yes,,,,,,3070,331343705,43.7143057,-79.4554892,Shell,,,+1-416-785-5425,M6A 2S6,,yes,Dufferin Street,,POINT (-79.4554892 43.7143057)
Petro-Canada,,,North York,,,,,,,,,4384,339534484,43.7551831,-79.4389332,Petro-Canada,,,,,,,Bathurst Street,,POINT (-79.43893319999999 43.7551831)
Esso,,,,,,,,,,,,,339550978,43.7229219,-79.4563071,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.4563071 43.7229219)
Husky,,,,,,,,,,,,,339551801,43.7325097,-79.4594282,Husky,,,,,,yes,,,POINT (-79.4594282 43.7325097)
Shell,,,,,,,,,,,,,339551805,43.7325207,-79.4583315,Shell,,,,,,yes,,,POINT (-79.4583315 43.7325207)
Petro-Canada,,,,,,,,,,yes,,,339551808,43.7320074,-79.4583659,Petro-Canada,,,,,,,,,POINT (-79.4583659 43.7320074)
,,,Scarborough,,,,,,,,,1723,339912917,43.7366682,-79.3071473,Global,,,,,,,Victoria Park Avenue,,POINT (-79.3071473 43.7366682)
,,,,,,yes,,,,,,,344538973,43.6868599,-79.3557280,Mega Gas,,,,,,,,,POINT (-79.355728 43.6868599)
Esso,,,Scarborough,,,,,,,,,6780,356495830,43.7989645,-79.1472276,Esso,,,,,,,Kingston Road,https://www.esso.ca/,POINT (-79.14722759999999 43.7989645)
Shell,,,,,,yes,,,,,,,356495838,43.7969672,-79.1485824,Shell,,,,,,,,,POINT (-79.1485824 43.7969672)
Pioneer,,,,,,,,,,,,,356495853,43.8019077,-79.1410686,Pioneer,,,,,,,,,POINT (-79.1410686 43.8019077)
Esso,,,Etobicoke,,,,,,,,,280,360477709,43.6809260,-79.5094986,Esso,,,,,,yes,Scarlett Road,https://www.esso.ca/,POINT (-79.5094986 43.680926)
Esso,,,,,,yes,,,,,,,360997920,43.7346188,-79.6173128,Esso,,,,,,,,,POINT (-79.61731279999999 43.7346188)
Petro-Canada,,,,,,no,,,,,24/7,,364169641,43.7598096,-79.5907774,Petro-Canada,,,,,,,,,POINT (-79.59077739999999 43.7598096)
Canadian Tire,,,,,,,,,,,,,364266568,43.7424240,-79.5948733,Canadian Tire,Canadian Tire,,,,,yes,,,POINT (-79.5948733 43.742424)
Esso,,,,,,yes,,,,,,,365846620,43.7576587,-79.5185157,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.51851569999999 43.7576587)
Canadian Tire,,,,,,,,,,,,,366318103,43.7249426,-79.4809736,Canadian Tire,,,,,,,,,POINT (-79.4809736 43.7249426)
Shell,,,,,,,,,,,,,367083549,43.8180478,-79.3040540,Shell,,,,,,yes,,,POINT (-79.30405399999999 43.8180478)
Esso,,,,,,yes,,,,,,,367098105,43.8017655,-79.2961690,Esso,,,,,,,,,POINT (-79.29616900000001 43.8017655)
Petro-Canada,,,,,,no,,,,,,,367098106,43.8007711,-79.2966996,Petro-Canada,,,,,,yes,,,POINT (-79.2966996 43.8007711)
Shell,,,,,,yes,,,,,,,368142514,43.7099497,-79.5350056,Shell,,,,,,,,,POINT (-79.53500560000001 43.7099497)
Petro-Canada,,,,,,,,,,,,,370202085,43.7436678,-79.6066513,Petro-Canada,,,,,,,,,POINT (-79.6066513 43.7436678)
Shell,,,,,,yes,,,,,,,370202086,43.7437888,-79.6080503,Shell,,,,,,,,,POINT (-79.6080503 43.7437888)
,,,,,,,,,,,,,370202209,43.7433288,-79.6047174,Petro-Canada Wholesale,,,,,,,,,POINT (-79.6047174 43.7433288)
